disc,link,state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,Notes,UGrad Concentrations
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Economic Development Environmental Studies Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Quantitative Methods Remote Sensing Transportation and Communication Water Resources",https://geography.ua.edu/,AL,University of Alabama,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,,x,,,,,,"Earth System Science
Regional, Urban, and Environmental Planning
Geographic Information Science (GIS)"
"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Energy Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",http://www.auburn.edu/academic/cosam/departments/geosciences/academics/index.htm,AL,Auburn University,,Department of Geosciences,College of Science and Mathematics,,,,,,x,x,,,,,,,,
"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography",https://www.una.edu/geography/Undergrad/geography-major/index.html,AL,University of North Alabama,,Department of Geography,"College of Arts, Sciences, and Engineering",x,x,,,x,x,,,,,,,,GIS MS,
,https://www.uaf.edu/geosciences/academics/geography/index.php,AK ,University of Alaska Fairbanks,,Department of Geosciences ,"
College of Natural Science and Mathematics",,,,,x,x,x,x,x,,,,,,"Landscape Analysis & Climate Change Studies, environmental studies, geospatial sciences"
"Applied Geography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Quantitative Methods Remote Sensing Transportation and Communication Urban Geography Water Resources",https://sgsup.asu.edu/degree-programs/undergraduate-degrees,AZ,Arizona State University,,,The College of Liberal Arts and Sciences,,,,,x,x,,x,x,,,,,GIS MS,
Biogeography Cartography Cultural Geography Distance/Online Degree Program Economic Geography Energy Environmental Studies Gender Geographic Education GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources,https://geography.arizona.edu/undergraduate-overview,AZ,University of Arizona,,"Department of Geography, Planning, and Recreation",College of Social and Behavioral Sciences,x,,,,x,x,,x,x,,,,,GIS MS,"Environmental Studies BA, Food Studies BA, BS Urban and Regional Devel, BS GIS, unspecialized BS and BA"
,https://nau.edu/gpr/home/geography-planning-programs/,AZ,Northern Arizona University,,,College of Social and Behavioral Sciences,x,,,,x,,,,,,x,,,BS Geographic Science and Community Planning,
,https://www.mesacc.edu/departments/cultural-science/geography,AZ,Mesa Community College,,Department of Cultural Science,,,,x,x,,,,,,,,,,,
Cartography Climatology/Meteorology GIS GIS Certificate Program Hazards Political Geography Remote Sensing Urban Geography,https://fulbright.uark.edu/departments/geosciences/,AR,"University of Arkansas, Fayetteville",,Department of Geosciences,Fulbright College of Arts and Sciences,,,,,,x,x,,,,,,, ,
Applied Geography Biogeography Climatology/Meteorology Cultural Geography Distance/Online Degree Program Environmental Studies Gender GIS GIS Certificate Program Political Ecology Political Geography,https://catalog.humboldt.edu/preview_program.php?catoid=5&poid=1174,CA,Humboldt State University,,"Department of Geography, Environment and Spatial Analysis","College of Arts, Humanities and Social Sciences",x,,,,,x,,,,,,,, ,
"Cartography Conservation, Land Use, Resource Management GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Regional Development Transportation and Communication Urban Geography Water Resources",https://www.csuchico.edu/geop/programs/majors.shtml,CA,"California State University, Chico",,Department of Geography and Planning,College of Behavioral and Social Sciences,x,,,,x,x,,,,,,,,,
"Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Energy Environmental Studies Geomorphology GIS Hazards Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",http://gep.sonoma.edu/,CA,Sonoma State University,,"Department of Geography, Environment, and Planning",School of Social Sciences,x,,,,x,x, ,,,,x,,,"BS Environmental Science, Geography and Management; Bachelor of Arts in Environmental Studies, Geography, and Planning",
"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Gender GIS Historical Geography Medical Geography Physical Geography/General Political Ecology Political Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://geography.ucdavis.edu/,CA,"University of California, Davis",,Department of Human Ecology,College of Agricultural and Environmental Sciences,,,,,,,,x,x,,,,,,
Applied Geography Biogeography Cartography Climatology/Meteorology Cultural Geography Geographic Education Geographic Thought GIS Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography,https://www.csus.edu/college/natural-sciences-mathematics/geography/,CA,"California State University, Sacramento ",,Department of Geography,College of Natural Sciences and Mathematics,x,x,,,,x,,,,,,,, ,"BA in Geography (Geographic Information Systems and Analysis)

BA in Geography (Human Geography)

BA in Geography (Metropolitan Area Planning)

BA in Geography (Physical Geography)

"
Climatology/Meteorology Cultural Geography Environmental Studies GIS GIS Certification Program Physical Geography/General,https://crc.losrios.edu/academics/programs-and-majors/geography,CA,Cosumnes River College,Geography,,"Science, Engineering, and Math Community",,,x,x,,,,,,,,,,,
"Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Development Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS Physical Geography/General Political Ecology Political Geography Quantitative Methods Remote Sensing Rural Geography Social Geography Urban Geography Water Resources",https://geography.berkeley.edu/our-department,CA,"University of California, Berkeley",,Department of Geography,College of Letters and Science ,x,x,,,,x,,,x,,,,,,
"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Economic Geography Environmental Studies Gender Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Quantitative Methods Remote Sensing Social Geography Transportation and Communication Urban Geography Water Resources",https://geog.sfsu.edu/,CA,San Francisco State University,,Department of Geography and Environment,College of Science and Engineering,x,,,,,x,,x,,,,,,MS GIS,
"Agricultural Geography Applied Geography Biogeography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Geography Energy Environmental Studies Geographic Education Geographic Thought Geomorphology Hazards Physical Geography/General Population Geography Quantitative Methods Recreation and Tourism Social Geography Urban Geography Water Resources",https://laney.edu/instruction/degrees-certificates-laney-college/,CA,Laney College,,Department of Human and Physical Sciences,,,,x,,,,,,,,,,,,
"Applied Geography Cartography Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Environmental Studies Gender Geographic Education Geographic Thought GIS GIS Certificate Program Hazards Historical Geography Medical Geography Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources",https://www.sjsu.edu/urbanplanning/,CA,San Jose State University,,Department of Urban and Regional Planning,College of Social Sciences,,,,,,x,,x,,,,,,,
