state,inst,prgm,dept,admin,geog_name,geog_dept,AA,ASc,BS,BA,MS,MA,PhD,Associates Degree in Geography/Geographic Sciences and another subject,Bachelors Degree in Geography/Geographic Sciences and another subject,Masters Degree in Geography and another subject,PhD Degree in Geography and another subject,disc,link
AL,University of Alabama,,Department of Geography,College of Arts and Sciences,x,x,,,x,x,x,,x,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Economic Development Environmental Studies Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Quantitative Methods Remote Sensing Transportation and Communication Water Resources",https://geography.ua.edu/
AL,Auburn University,,Department of Geosciences,College of Science and Mathematics,,,,,,x,x,,,,,,,"Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Economic Development Economic Geography Energy Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Political Geography Population Geography Quantitative Methods Remote Sensing Urban Geography Water Resources",http://www.auburn.edu/academic/cosam/departments/geosciences/academics/index.htm
AL,University of North Alabama,,Department of Geography,"College of Arts, Sciences, and Engineering",x,x,,,x,x,,,,,,,,"Agricultural Geography Applied Geography Biogeography Cartography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Ecology Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Environmental Studies Geographic Education Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Historical Geography Location Theory Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Recreation and Tourism Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography",https://www.una.edu/geography/Undergrad/geography-major/index.html
AK ,University of Alaska Fairbanks,,Department of Geosciences ,"
College of Natural Science and Mathematics",,,,,x,x,x,x,x,,,,,,https://www.uaf.edu/geosciences/academics/geography/index.php
AZ,Arizona State University,,,The College of Liberal Arts and Sciences,,,,,x,x,,x,x,,,,,"Applied Geography Climatology/Meteorology Conservation, Land Use, Resource Management Cultural Geography Distance/Online Degree Program Economic Development Economic Geography Energy Geographic Thought Geomorphology GIS GIS Certificate Program Hazards Location Theory Physical Geography/General Planning (Regional/Urban) Quantitative Methods Remote Sensing Transportation and Communication Urban Geography Water Resources",https://sgsup.asu.edu/degree-programs/undergraduate-degrees
AZ,University of Arizona,,"Department of Geography, Planning, and Recreation",College of Social and Behavioral Sciences,x,,,,x,x,,x,x,,,,,Biogeography Cartography Cultural Geography Distance/Online Degree Program Economic Geography Energy Environmental Studies Gender Geographic Education GIS GIS Certificate Program Physical Geography/General Planning (Regional/Urban) Political Ecology Political Geography Population Geography Quantitative Methods Regional Development Remote Sensing Rural Geography Social Geography Transportation and Communication Urban Geography Water Resources,https://geography.arizona.edu/undergraduate-overview
AZ,Northern Arizona University,,,College of Social and Behavioral Sciences,x,,,,x,,,,,,x,,,,https://nau.edu/gpr/home/geography-planning-programs/
AZ,Mesa Community College,,Department of Cultural Science,,,,x,x,,,,,,,,,,,https://www.mesacc.edu/departments/cultural-science/geography
AR,"University of Arkansas, Fayetteville",,Department of Geosciences,Fulbright College of Arts and Sciences,,,,,,x,x,,,,,,,Cartography Climatology/Meteorology GIS GIS Certificate Program Hazards Political Geography Remote Sensing Urban Geography,https://fulbright.uark.edu/departments/geosciences/
CA,Humboldt State University,,"Department of Geography, Environment and Spatial Analysis","College of Arts, Humanities and Social Sciences",x,,,,,x,,,,,,,,Applied Geography Biogeography Climatology/Meteorology Cultural Geography Distance/Online Degree Program Environmental Studies Gender GIS GIS Certificate Program Political Ecology Political Geography,https://catalog.humboldt.edu/preview_program.php?catoid=5&poid=1174
